Bird Species,Bird_Population_Parameter,Life_Cycle_Phase,Location,PD Species,Methodology,Variable,Effect Direction,Conclusion,Descriptive only?,Reference,Ref_Num
Red-tailed Hawk,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Supports,Yes,Campbell and Clark,46
Red-tailed Hawk,Occurrence,Year-round/Adult,CO (USA),BTPD,Total count,Birds/count,Neutral,Equivocal,No,Magle et al (2012),55
Red-tailed Hawk,Diet,Breeding Season/Adult,MT (USA),BTPD,Camera trap,% carcasses visited,Positive,Supports,Yes,McTee et al,58
Red-tailed Hawk,Occurrence,"Postbreeding Migration, Nonbreeding Season, Prebreeding Migration/Adult",CO (USA),BTPD,Relative density,raptors/route,Positive,Supports,No,Jones,228
Red-tailed Hawk,Diet,Breeding Season/Adult,WY (USA),WTPD,Diet analysis,Prey item frequency,Positive,Supports,Yes,MacLaren et al,265
Red-tailed Hawk,Occurrence,Year-round/Adult,"TX, NM (USA)",BTPD,Relative abundance,birds/site,Neutral,Equivocal,No,Merriman,271
Rough-legged Hawk,Occurrence,Nonbreeding Season/Adult,CO (USA),BTPD,Relative abundance,Distance to nearest prairie dog town,Positive,Supports,No,Berry,3
Rough-legged Hawk,Diet,Year-round/Adult,"ND, SD, WY, CO, OK (USA)",BTPD,Behavioral anecdote,NA,Positive,Supports,Yes,Koford,11
Rough-legged Hawk,Occurrence,Nonbreeding Season/Adult,CO (USA),BTPD,Relative abundance,Avg birds/count,Neutral,Equivocal,No,Seery and Matiatos,15
Rough-legged Hawk,Occurrence,Nonbreeding Season/Adult,OK (USA),BTPD,General survey,NA,Positive,Supports,Yes,Tyler et al (1968),62
Rough-legged Hawk,Diet,Nonbreeding Season/Adult,TX (USA),BTPD,Behavioral anecdote,NA,Positive,Supports,Yes,Allison et al,220
Swainson's Hawk,Nesting,Breeding Season/Adult,CO (USA),BTPD,Frequency,Number of prey items,Negative,Does not support,No,Giovanni et al,9
Swainson's Hawk,Nesting,Breeding Season/Adult,CO (USA),BTPD,Biomass,Percent (in grams),Negative,Does not support,No,Giovanni et al,9
Swainson's Hawk,Diet,Year-round/Adult,"ND, SD, WY, CO, OK (USA)",BTPD,Behavioral anecdote,NA,Positive,Supports,Yes,Koford,11
Swainson's Hawk,Occurrence,Year-round/Adult,"TX, NM (USA)",BTPD,Relative abundance,Avg birds/count,Negative,Does not support,No,Merriman et al,12
Swainson's Hawk,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Supports,Yes,Campbell and Clark,46
Swainson's Hawk,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Supports,Yes,Campbell and Clark,46
Swainson's Hawk,Occurrence,Breeding Season/Adult,CHH (MX),BTPD,General survey,NA,Negative,Does not support,Yes,Manzano-Fischer et al (1999),56
Swainson's Hawk,Diet,Breeding Season/Adult,MT (USA),BTPD,Camera trap,% carcasses visited,Positive,Supports,Yes,McTee et al,58
Swainson's Hawk,Occurrence,Breeding Season/Adult,OK (USA),BTPD,General survey,NA,Positive,Supports,Yes,Tyler et al (1968),62
Swainson's Hawk,Occurrence,Year-round/Adult,"TX, NM (USA)",BTPD,Relative abundance,birds/site,Negative,Does not support,No,Merriman,271
Turkey Vulture,Diet,Breeding Season/Adult,MT (USA),BTPD,Camera trap,% carcasses visited,Positive,Supports,Yes,McTee et al,58
Turkey Vulture,Occurrence,Year-round/Adult,OK (USA),BTPD,General survey,NA,Positive,Supports,Yes,Tyler et al (1968),62
